"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:22,27","00:48,81","01:47,12","03:47,24","07:50,19","14:59,70","00:27,80","01:01,12","02:11,71","00:23,72","00:52,68","01:57,25","00:25,11","00:54,18","01:58,81","02:00,36","04:16,09","20"
"19","00:22,62","00:49,57","01:48,77","03:50,76","07:57,46","15:13,62","00:28,23","01:02,06","02:13,74","00:24,08","00:53,50","01:59,07","00:25,50","00:55,02","02:00,64","02:02,22","04:20,05","19"
"18","00:22,96","00:50,32","01:50,43","03:54,27","08:04,73","15:27,53","00:28,66","01:03,01","02:15,78","00:24,45","00:54,31","02:00,88","00:25,89","00:55,86","02:02,48","02:04,08","04:24,01","18"
"17","00:23,30","00:51,07","01:52,09","03:57,78","08:12,00","15:41,44","00:29,09","01:03,96","02:17,82","00:24,82","00:55,12","02:02,69","00:26,28","00:56,70","02:04,32","02:05,94","04:27,97","17"
"16","00:23,65","00:51,83","01:53,74","04:01,30","08:19,27","15:55,36","00:29,52","01:04,90","02:19,85","00:25,18","00:55,94","02:04,51","00:26,67","00:57,54","02:06,15","02:07,80","04:31,93","16"
"15","00:23,99","00:52,58","01:55,40","04:04,81","08:26,54","16:09,27","00:29,95","01:05,85","02:21,89","00:25,55","00:56,75","02:06,32","00:27,06","00:58,37","02:07,99","02:09,66","04:35,89","15"
"14","00:24,34","00:53,34","01:57,06","04:08,33","08:33,81","16:23,18","00:30,38","01:06,79","02:23,93","00:25,92","00:57,57","02:08,13","00:27,44","00:59,21","02:09,83","02:11,52","04:39,85","14"
"13","00:24,68","00:54,09","01:58,71","04:11,84","08:41,08","16:37,09","00:30,81","01:07,74","02:25,96","00:26,28","00:58,38","02:09,95","00:27,83","01:00,05","02:11,67","02:13,39","04:43,81","13"
"12","00:25,03","00:54,85","02:00,37","04:15,35","08:48,36","16:51,01","00:31,24","01:08,68","02:28,00","00:26,65","00:59,20","02:11,76","00:28,22","01:00,89","02:13,50","02:15,25","04:47,77","12"
"11","00:25,37","00:55,60","02:02,03","04:18,87","08:55,63","17:04,92","00:31,67","01:09,63","02:30,04","00:27,02","01:00,01","02:13,57","00:28,61","01:01,73","02:15,34","02:17,11","04:51,73","11"
"10","00:25,72","00:56,36","02:03,68","04:22,38","09:02,90","17:18,83","00:32,10","01:10,57","02:32,07","00:27,38","01:00,83","02:15,39","00:29,00","01:02,56","02:17,18","02:18,97","04:55,69","10"
"9","00:26,06","00:57,11","02:05,34","04:25,90","09:10,17","17:32,75","00:32,53","01:11,52","02:34,11","00:27,75","01:01,64","02:17,20","00:29,39","01:03,40","02:19,01","02:20,83","04:59,65","9"
"8","00:26,40","00:57,87","02:06,99","04:29,41","09:17,44","17:46,66","00:32,96","01:12,46","02:36,15","00:28,12","01:02,46","02:19,01","00:29,77","01:04,24","02:20,85","02:22,69","05:03,61","8"
"7","00:26,75","00:58,62","02:08,65","04:32,92","09:24,71","18:00,57","00:33,39","01:13,41","02:38,18","00:28,48","01:03,27","02:20,83","00:30,16","01:05,08","02:22,69","02:24,55","05:07,57","7"
"6","00:27,09","00:59,38","02:10,31","04:36,44","09:31,98","18:14,49","00:33,82","01:14,35","02:40,22","00:28,85","01:04,09","02:22,64","00:30,55","01:05,91","02:24,53","02:26,41","05:11,53","6"
"5","00:27,44","01:00,13","02:11,96","04:39,95","09:39,25","18:28,40","00:34,25","01:15,30","02:42,26","00:29,22","01:04,90","02:24,45","00:30,94","01:06,75","02:26,36","02:28,28","05:15,49","5"
"4","00:27,78","01:00,89","02:13,62","04:43,47","09:46,52","18:42,31","00:34,68","01:16,24","02:44,29","00:29,58","01:05,72","02:26,26","00:31,33","01:07,59","02:28,20","02:30,14","05:19,45","4"
"3","00:28,13","01:01,64","02:15,28","04:46,98","09:53,79","18:56,22","00:35,11","01:17,19","02:46,33","00:29,95","01:06,53","02:28,08","00:31,72","01:08,43","02:30,04","02:32,00","05:23,41","3"
"2","00:28,47","01:02,40","02:16,93","04:50,49","10:01,07","19:10,14","00:35,54","01:18,13","02:48,37","00:30,32","01:07,34","02:29,89","00:32,10","01:09,27","02:31,88","02:33,86","05:27,37","2"
"1","00:28,81","01:03,15","02:18,59","04:54,01","10:08,34","19:24,05","00:35,97","01:19,08","02:50,40","00:30,68","01:08,16","02:31,70","00:32,49","01:10,10","02:33,71","02:35,72","05:31,33","1"
