"Strecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:31,49","01:10,51","02:34,95","05:32,69","11:38,40","22:18,60","00:41,18","01:31,83","03:19,92","00:35,56","01:20,62","03:06,24","00:36,86","01:21,24","02:52,71","02:55,26","06:32,85","20"
"19","00:31,97","01:11,60","02:37,34","05:37,84","11:49,20","22:39,30","00:41,81","01:33,25","03:23,01","00:36,11","01:21,86","03:09,12","00:37,43","01:22,49","02:55,38","02:57,97","06:38,92","19"
"18","00:32,46","01:12,69","02:39,74","05:42,98","12:00,00","23:00,00","00:42,45","01:34,67","03:26,10","00:36,66","01:23,11","03:12,00","00:38,00","01:23,75","02:58,05","03:00,68","06:45,00","18"
"17","00:32,95","01:13,78","02:42,14","05:48,12","12:10,80","23:20,70","00:43,09","01:36,09","03:29,19","00:37,21","01:24,36","03:14,88","00:38,57","01:25,01","03:00,72","03:03,39","06:51,07","17"
"16","00:33,43","01:14,87","02:44,53","05:53,27","12:21,60","23:41,40","00:43,72","01:37,51","03:32,28","00:37,76","01:25,60","03:17,76","00:39,14","01:26,26","03:03,39","03:06,10","06:57,15","16"
"15","00:33,92","01:15,96","02:46,93","05:58,41","12:32,40","24:02,10","00:44,36","01:38,93","03:35,37","00:38,31","01:26,85","03:20,64","00:39,71","01:27,52","03:06,06","03:08,81","07:03,23","15"
"14","00:34,41","01:17,05","02:49,32","06:03,56","12:43,20","24:22,80","00:45,00","01:40,35","03:38,47","00:38,86","01:28,10","03:23,52","00:40,28","01:28,77","03:08,73","03:11,52","07:09,30","14"
"13","00:34,89","01:18,14","02:51,72","06:08,70","12:54,00","24:43,50","00:45,63","01:41,77","03:41,56","00:39,41","01:29,34","03:26,40","00:40,85","01:30,03","03:11,40","03:14,23","07:15,37","13"
"12","00:35,38","01:19,23","02:54,12","06:13,85","13:04,80","25:04,20","00:46,27","01:43,19","03:44,65","00:39,96","01:30,59","03:29,28","00:41,42","01:31,29","03:14,07","03:16,94","07:21,45","12"
"11","00:35,87","01:20,32","02:56,51","06:18,99","13:15,60","25:24,90","00:46,91","01:44,61","03:47,74","00:40,51","01:31,84","03:32,16","00:41,99","01:32,54","03:16,75","03:19,65","07:27,53","11"
"10","00:36,36","01:21,41","02:58,91","06:24,14","13:26,40","25:45,60","00:47,54","01:46,03","03:50,83","00:41,06","01:33,08","03:35,04","00:42,56","01:33,80","03:19,42","03:22,36","07:33,60","10"
"9","00:36,84","01:22,50","03:01,30","06:29,28","13:37,20","26:06,30","00:48,18","01:47,45","03:53,92","00:41,61","01:34,33","03:37,92","00:43,13","01:35,06","03:22,09","03:25,07","07:39,67","9"
"8","00:37,33","01:23,59","03:03,70","06:34,43","13:48,00","26:27,00","00:48,82","01:48,87","03:57,01","00:42,16","01:35,58","03:40,80","00:43,70","01:36,31","03:24,76","03:27,78","07:45,75","8"
"7","00:37,82","01:24,68","03:06,10","06:39,57","13:58,80","26:47,70","00:49,45","01:50,29","04:00,11","00:42,71","01:36,82","03:43,68","00:44,27","01:37,57","03:27,43","03:30,49","07:51,83","7"
"6","00:38,30","01:25,77","03:08,49","06:44,72","14:09,60","27:08,40","00:50,09","01:51,71","04:03,20","00:43,26","01:38,07","03:46,56","00:44,84","01:38,82","03:30,10","03:33,20","07:57,90","6"
"5","00:38,79","01:26,86","03:10,89","06:49,86","14:20,40","27:29,10","00:50,73","01:53,13","04:06,29","00:43,81","01:39,32","03:49,44","00:45,41","01:40,08","03:32,77","03:35,91","08:03,97","5"
"4","00:39,28","01:27,95","03:13,29","06:55,01","14:31,20","27:49,80","00:51,36","01:54,55","04:09,38","00:44,36","01:40,56","03:52,32","00:45,98","01:41,34","03:35,44","03:38,62","08:10,05","4"
"3","00:39,76","01:29,05","03:15,68","07:00,15","14:42,00","28:10,50","00:52,00","01:55,97","04:12,47","00:44,91","01:41,81","03:55,20","00:46,55","01:42,59","03:38,11","03:41,33","08:16,12","3"
"2","00:40,25","01:30,14","03:18,08","07:05,30","14:52,80","28:31,20","00:52,64","01:57,39","04:15,56","00:45,46","01:43,06","03:58,08","00:47,12","01:43,85","03:40,78","03:44,04","08:22,20","2"
"1","00:40,74","01:31,23","03:20,47","07:10,44","15:03,60","28:51,90","00:53,27","01:58,81","04:18,66","00:46,01","01:44,30","04:00,96","00:47,69","01:45,11","03:43,45","03:46,75","08:28,27","1"
