"S
trecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt"
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,71","00:53,67","01:55,44","04:04,38","08:22,63","15:55,45","00:30,97","01:07,32","02:24,05","00:25,90","00:57,91","02:08,04","00:27,83","00:59,89","02:08,85","02:10,43","04:37,28","20"
"19","00:25,09","00:54,50","01:57,22","04:08,16","08:30,41","16:10,23","00:31,45","01:08,36","02:26,27","00:26,30","00:58,80","02:10,02","00:28,26","01:00,81","02:10,85","02:12,44","04:41,57","19"
"18","00:25,47","00:55,33","01:59,01","04:11,94","08:38,18","16:25,00","00:31,93","01:09,40","02:28,50","00:26,70","00:59,70","02:12,00","00:28,69","01:01,74","02:12,84","02:14,46","04:45,86","18"
"17","00:25,85","00:56,16","02:00,80","04:15,72","08:45,95","16:39,78","00:32,41","01:10,44","02:30,73","00:27,10","01:00,60","02:13,98","00:29,12","01:02,67","02:14,83","02:16,48","04:50,15","17"
"16","00:26,23","00:56,99","02:02,58","04:19,50","08:53,73","16:54,55","00:32,89","01:11,48","02:32,95","00:27,50","01:01,49","02:15,96","00:29,55","01:03,59","02:16,83","02:18,49","04:54,44","16"
"15","00:26,62","00:57,82","02:04,37","04:23,28","09:01,50","17:09,33","00:33,37","01:12,52","02:35,18","00:27,90","01:02,39","02:17,94","00:29,98","01:04,52","02:18,82","02:20,51","04:58,72","15"
"14","00:27,00","00:58,65","02:06,15","04:27,06","09:09,27","17:24,10","00:33,85","01:13,56","02:37,41","00:28,30","01:03,28","02:19,92","00:30,41","01:05,44","02:20,81","02:22,53","05:03,01","14"
"13","00:27,38","00:59,48","02:07,94","04:30,84","09:17,04","17:38,88","00:34,32","01:14,61","02:39,64","00:28,70","01:04,18","02:21,90","00:30,84","01:06,37","02:22,80","02:24,54","05:07,30","13"
"12","00:27,76","01:00,31","02:09,72","04:34,61","09:24,82","17:53,65","00:34,80","01:15,65","02:41,86","00:29,10","01:05,07","02:23,88","00:31,27","01:07,30","02:24,80","02:26,56","05:11,59","12"
"11","00:28,14","01:01,14","02:11,51","04:38,39","09:32,59","18:08,43","00:35,28","01:16,69","02:44,09","00:29,50","01:05,97","02:25,86","00:31,70","01:08,22","02:26,79","02:28,58","05:15,88","11"
"10","00:28,53","01:01,97","02:13,29","04:42,17","09:40,36","18:23,20","00:35,76","01:17,73","02:46,32","00:29,90","01:06,86","02:27,84","00:32,13","01:09,15","02:28,78","02:30,60","05:20,16","10"
"9","00:28,91","01:02,80","02:15,08","04:45,95","09:48,13","18:37,98","00:36,24","01:18,77","02:48,55","00:30,30","01:07,76","02:29,82","00:32,56","01:10,07","02:30,77","02:32,61","05:24,45","9"
"8","00:29,29","01:03,63","02:16,86","04:49,73","09:55,91","18:52,75","00:36,72","01:19,81","02:50,78","00:30,71","01:08,65","02:31,80","00:32,99","01:11,00","02:32,77","02:34,63","05:28,74","8"
"7","00:29,67","01:04,46","02:18,65","04:53,51","10:03,68","19:07,53","00:37,20","01:20,85","02:53,00","00:31,11","01:09,55","02:33,78","00:33,42","01:11,93","02:34,76","02:36,65","05:33,03","7"
"6","00:30,05","01:05,29","02:20,43","04:57,29","10:11,45","19:22,30","00:37,68","01:21,89","02:55,23","00:31,51","01:10,45","02:35,76","00:33,85","01:12,85","02:36,75","02:38,66","05:37,31","6"
"5","00:30,44","01:06,12","02:22,22","05:01,07","10:19,23","19:37,08","00:38,16","01:22,93","02:57,46","00:31,91","01:11,34","02:37,74","00:34,28","01:13,78","02:38,74","02:40,68","05:41,60","5"
"4","00:30,82","01:06,95","02:24,00","05:04,85","10:27,00","19:51,85","00:38,64","01:23,97","02:59,68","00:32,31","01:12,24","02:39,72","00:34,71","01:14,71","02:40,74","02:42,70","05:45,89","4"
"3","00:31,20","01:07,78","02:25,79","05:08,63","10:34,77","20:06,63","00:39,11","01:25,02","03:01,91","00:32,71","01:13,13","02:41,70","00:35,15","01:15,63","02:42,73","02:44,71","05:50,18","3"
"2","00:31,58","01:08,61","02:27,57","05:12,41","10:42,54","20:21,40","00:39,59","01:26,06","03:04,14","00:33,11","01:14,03","02:43,68","00:35,58","01:16,56","02:44,72","02:46,73","05:54,47","2"
"1","00:31,96","01:09,44","02:29,36","05:16,18","10:50,32","20:36,18","00:40,07","01:27,10","03:06,37","00:33,51","01:14,92","02:45,66","00:36,01","01:17,48","02:46,71","02:48,75","05:58,75","1"
