"S
trecke 
Punkte","Freestyle","","","","","","Breaststroke","","","Butterfly","","","Backstroke","","","Medley","","Pkt."
"","50","100","200","400","800","1500","50","100","200","50","100","200","50","100","200","200","400",""
"20","00:24,36","00:53,43","01:57,27","04:08,91","08:42,41","16:29,53","00:30,55","01:06,72","02:25,46","00:26,00","00:57,96","02:10,00","00:28,00","01:00,12","02:11,14","02:11,24","04:39,61","20"
"19","00:24,73","00:54,25","01:59,09","04:12,76","08:50,49","16:44,83","00:31,02","01:07,75","02:27,71","00:26,40","00:58,85","02:12,01","00:28,44","01:01,05","02:13,17","02:13,27","04:43,94","19"
"18","00:25,11","00:55,08","02:00,90","04:16,61","08:58,57","17:00,13","00:31,49","01:08,78","02:29,96","00:26,80","00:59,75","02:14,02","00:28,87","01:01,98","02:15,20","02:15,30","04:48,26","18"
"17","00:25,49","00:55,91","02:02,71","04:20,46","09:06,65","17:15,43","00:31,96","01:09,81","02:32,21","00:27,20","01:00,65","02:16,03","00:29,30","01:02,91","02:17,23","02:17,33","04:52,58","17"
"16","00:25,86","00:56,73","02:04,53","04:24,31","09:14,73","17:30,73","00:32,43","01:10,84","02:34,46","00:27,60","01:01,54","02:18,04","00:29,74","01:03,84","02:19,26","02:19,36","04:56,91","16"
"15","00:26,24","00:57,56","02:06,34","04:28,16","09:22,81","17:46,04","00:32,91","01:11,88","02:36,71","00:28,01","01:02,44","02:20,05","00:30,17","01:04,77","02:21,28","02:21,39","05:01,23","15"
"14","00:26,62","00:58,38","02:08,15","04:32,01","09:30,88","18:01,34","00:33,38","01:12,91","02:38,96","00:28,41","01:03,33","02:22,06","00:30,60","01:05,70","02:23,31","02:23,42","05:05,56","14"
"13","00:26,99","00:59,21","02:09,97","04:35,86","09:38,96","18:16,64","00:33,85","01:13,94","02:41,21","00:28,81","01:04,23","02:24,07","00:31,04","01:06,63","02:25,34","02:25,45","05:09,88","13"
"12","00:27,37","01:00,04","02:11,78","04:39,70","09:47,04","18:31,94","00:34,32","01:14,97","02:43,46","00:29,21","01:05,13","02:26,08","00:31,47","01:07,56","02:27,37","02:27,48","05:14,20","12"
"11","00:27,75","01:00,86","02:13,59","04:43,55","09:55,12","18:47,24","00:34,80","01:16,00","02:45,71","00:29,61","01:06,02","02:28,09","00:31,90","01:08,49","02:29,40","02:29,51","05:18,53","11"
"10","00:28,12","01:01,69","02:15,41","04:47,40","10:03,20","19:02,55","00:35,27","01:17,03","02:47,96","00:30,02","01:06,92","02:30,10","00:32,33","01:09,42","02:31,42","02:31,54","05:22,85","10"
"9","00:28,50","01:02,52","02:17,22","04:51,25","10:11,28","19:17,85","00:35,74","01:18,07","02:50,20","00:30,42","01:07,82","02:32,11","00:32,77","01:10,35","02:33,45","02:33,57","05:27,18","9"
"8","00:28,88","01:03,34","02:19,03","04:55,10","10:19,36","19:33,15","00:36,21","01:19,10","02:52,45","00:30,82","01:08,71","02:34,12","00:33,20","01:11,28","02:35,48","02:35,59","05:31,50","8"
"7","00:29,25","01:04,17","02:20,85","04:58,95","10:27,43","19:48,45","00:36,69","01:20,13","02:54,70","00:31,22","01:09,61","02:36,13","00:33,63","01:12,21","02:37,51","02:37,62","05:35,82","7"
"6","00:29,63","01:04,99","02:22,66","05:02,80","10:35,51","20:03,75","00:37,16","01:21,16","02:56,95","00:31,62","01:10,51","02:38,14","00:34,07","01:13,14","02:39,54","02:39,65","05:40,15","6"
"5","00:30,01","01:05,82","02:24,48","05:06,65","10:43,59","20:19,06","00:37,63","01:22,19","02:59,20","00:32,03","01:11,40","02:40,15","00:34,50","01:14,07","02:41,56","02:41,68","05:44,47","5"
"4","00:30,38","01:06,65","02:26,29","05:10,50","10:51,67","20:34,36","00:38,10","01:23,22","03:01,45","00:32,43","01:12,30","02:42,16","00:34,93","01:15,00","02:43,59","02:43,71","05:48,79","4"
"3","00:30,76","01:07,47","02:28,10","05:14,35","10:59,75","20:49,66","00:38,58","01:24,26","03:03,70","00:32,83","01:13,19","02:44,17","00:35,37","01:15,93","02:45,62","02:45,74","05:53,12","3"
"2","00:31,14","01:08,30","02:29,92","05:18,20","11:07,83","21:04,96","00:39,05","01:25,29","03:05,95","00:33,23","01:14,09","02:46,18","00:35,80","01:16,86","02:47,65","02:47,77","05:57,44","2"
"1","00:31,51","01:09,13","02:31,73","05:22,05","11:15,91","21:20,26","00:39,52","01:26,32","03:08,20","00:33,63","01:14,99","02:48,20","00:36,23","01:17,78","02:49,68","02:49,80","06:01,77","1"
